initial_shock_pct,system_equity_loss_pct,distressed_funds,simulation_round_counter
2,1.6,0,1
4,3.2,0,1
6,4.7,0,1
8,6.3,0,1
10,7.9,0,1
12,9.5,0,1
14,11.1,0,1
16,16.9,1,12
18,21.6,2,12
20,25.7,3,12
22,26.9,3,12
24,28.0,3,12
26,29.2,3,12
28,30.4,3,12
30,34.3,4,12
